"URN","LA (name)","LA (code)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadHonours","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName"
20262,"Wiltshire","865","","Bellefield Children's Centre","Children's centre","Children's Centres","Open","","24-03-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Bellefield School","Windermere Road","","Trowbridge","Wiltshire","BA14 8TE","","01225-763274","","Kerry","Morgan","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Trowbridge Adcroft","South West Wiltshire","Urban city and town","X999999",386163,158717,"","Wiltshire 031","Wiltshire 031C","","","","","","South West","","100121340690",""
20391,"Wiltshire","865","","Bradford on Avon Community Children's Centre","Children's centre","Children's Centres","Open","","01-12-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Fitzmaurice Primary School","Frome Road","","Bradford on Avon","Wiltshire","BA15 1LE","","01225-867184","","Judith","Gingell","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Bradford-on-Avon South","Chippenham","Rural town and fringe","X999999",382579,160342,"","Wiltshire 027","Wiltshire 027E","","","","","","South West","","100121341284",""
20494,"Wiltshire","865","","Bulford Children's Centre","Children's centre","Children's Centres","Open","","06-10-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Bulford Children's Centre","Hubert Hamilton Road","Bulford Camp","Bulford","Wiltshire","SP4 9JY","","01980-632660","","Lucy","Thorne","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Bulford, Allington and Figheldean","Devizes","Rural town and fringe","X999999",418827,143826,"","Wiltshire 045","Wiltshire 045B","","","","","","South West","","10090860458",""
20543,"Wiltshire","865","","Calne Community Children's Centre","Children's centre","Children's Centres","Open","","01-12-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Calne Priestley Primary School","Prince Charles Drive","","Calne","Wiltshire","SN11 8TG","","01249-823247","","Georgina","Knappe","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Calne Central","North Wiltshire","Urban city and town","X999999",400453,170924,"","Wiltshire 016","Wiltshire 016B","","","","","","South West","","100121386206",""
20753,"Wiltshire","865","","Clearbury Children's Centre","Children's centre","Children's Centres","Open","","01-11-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","The Trafalgar School","Breamore Road","","Downton, Salisbury","Wiltshire","SP5 3HN","","01725-511459","","Lucy","Thorne","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Downton and Ebble Valley","Salisbury","Rural town and fringe","X999999",417159,121269,"","Wiltshire 062","Wiltshire 062C","","","","","","South West","","10010458102",""
20825,"Wiltshire","865","","Corsham Children's Centre","Children's centre","Children's Centres","Open","","31-03-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Corsham Regis Primary School","Kings Avenue","","Corsham","Wiltshire","SN13 0EG","","01249-716254","","Sarah","Nelson","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Corsham Pickwick","Chippenham","Urban city and town","X999999",386896,170882,"","Wiltshire 018","Wiltshire 018F","","","","","","South West","","10070781949",""
20867,"Wiltshire","865","","Cricklade Children's Centre","Children's centre","Children's Centres","Open","","26-02-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","St Sampson's C of E Junior School","","Bath Road","Cricklade","Wiltshire","SN6 6AX","","01793-759187","","Deb","Skilton","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Cricklade and Latton","North Wiltshire","Rural town and fringe","X999999",409903,193646,"","Wiltshire 001","Wiltshire 001D","","","","","","South West","","10090512312",""
20953,"Wiltshire","865","","Devizes North Community Children's Centre","Children's centre","Children's Centres","Open","","18-12-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Devizes District Specialist Centre","Belle Vue Road","","Devizes","Wiltshire","SN10 2AJ","","01380-738691","","Kerry","Morgan","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Devizes North","Devizes","Urban city and town","X999999",399957,161787,"","Wiltshire 026","Wiltshire 026A","","","","","","South West","","100120990102",""
20954,"Wiltshire","865","","Devizes South Community Children's Centre","Children's centre","Children's Centres","Open","","11-12-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Southbroom Infants School","The Green","","Devizes","Wiltshire","SN10 5AA","","01380-738691","","Kerry","Morgan","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Devizes and Roundway South","Devizes","Urban city and town","X999999",400837,161171,"","Wiltshire 025","Wiltshire 025C","","","","","","South West","","100121385215",""
21079,"Wiltshire","865","","Elim Children's Centre","Children's centre","Children's Centres","Open","","26-10-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Elim Christian Centre","Dews Road","","Salisbury","Wiltshire","SP2 7SN","","01722-580034","","Rachel","Draper","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","South West","Wiltshire","Salisbury St Paul's","Salisbury","Urban city and town","X999999",413854,130104,"","Wiltshire 058","Wiltshire 058C","","","","","","South West","","200002927064",""
