urn,workforce_fte,class_teacher_fte,teacher_fte,ta_fte,aux_fte
100000,32.4,10.3,14.3,11.3,1
100005,29.9,2,4.3,13,4.8
100006,22,7,10,9,2
100007,26.6,11.8,13.8,10.8,0
134643,14,3,5,6,0
136807,11.7,2.8,4.8,4.3,1
139837,10.6,3.7,5.7,4.2,0
140686,1,0,0,0.6,0.4
100008,53.2,16.8,20.4,17.1,9.7
100009,48.1,20.6,26.6,16.5,2
100010,46.1,23,25,13.5,1.4
100011,58.5,21.6,26.4,15.2,8.8
100012,52.5,17.1,20.1,23.5,3.4
100013,27.3,11.4,12.4,9.2,1.7
100014,36,12.2,14.2,15.5,2.3
100015,19.1,5.3,7.1,5.2,2
100018,60,23.5,25.5,23,4.5
100019,46.8,18.2,21.2,15.3,2.3
100020,58.8,15.7,19.7,30,0.3
100021,67.2,19.6,25.5,26.1,6.1
100022,55.5,24.3,27.3,14.7,2.5
100023,59.2,21.3,24.1,23,6.3
100025,59.5,18.4,21.4,20.8,7.1
100026,29.8,8.6,10.2,14.6,3
100027,33.6,10.6,13.2,13.6,3.1
130342,31.4,8.7,11.4,13.3,2.5
132245,64.5,30.4,33.2,18.8,4.5
100028,18.2,8.3,10.3,5.6,0
100029,29.8,10.2,13,11.5,2
100030,35.1,9.5,13.5,13.7,1.5
100031,23.8,8,11,7.6,1.2
100032,29.9,9.6,12.2,12.8,0
100033,22.3,9.1,10.8,7.7,1.8
100034,40.5,11.9,13.9,17.3,6.4
100035,36.3,13.8,16.4,11.6,4.1
100036,27.7,9,11.6,11.3,2.4
100037,27.3,11.8,12.8,11.5,1
100038,26,8,10.7,11.3,1.1
100039,38.2,13.5,16.5,8.7,4.6
100040,30,12.8,15.8,11,1.4
100041,26.3,10.1,12.9,8.1,1.3
100042,27.1,11.4,13.4,7.9,0.1
100043,32.2,9,11.6,15.4,1.2
100044,18.7,6.8,7.8,8.1,0.8
100045,27.3,7.9,10.9,9.9,2.7
100046,23.9,7.9,10.9,10,1
100047,29.9,11.8,14.8,12,0
100048,24.8,10,11,7.4,0.4
137181,151.5,81.8,91.9,30.3,0.3
141164,12,5.1,7.1,2.9,0
100049,127.9,76.8,81.8,15.7,2.3
100050,124.4,80.7,89.4,7,5.3
100051,101.8,52,59,14.6,5.9
100052,144.4,86.3,93.1,17.3,7.1
100053,126.1,64.9,72.7,18.7,5.4
100054,116.4,63.5,66.5,6.2,18.7
100055,78,38,44,10,4.3
100056,91.1,56.2,62,3.8,7.7
100059,117.7,71.6,78.6,11.6,2
100091,26,5.3,6.7,16.7,0
100092,19.8,5.4,8.4,6.8,0.6
100096,177.6,32.9,47.1,96.4,7.5
100097,27.7,5.9,7.9,7.2,0.9
100098,29.3,3,5,1,1.2
100099,7.6,0.4,1.6,2.4,0
100102,24.6,4.8,6.8,4.3,1
100103,61.2,25.8,30.8,18,0
