LAEstab,Easting,Northing,School_Type,School_Phase,Religious_Character,Government_Office_Region_Name,Parliamentary_Constituency,LA_District,Ward,StatutoryLowAge.y,StatutoryHighAge.y,Tot_Workforce_HC,Tot_Classroom_Teachers_HC,Tot_Teachers_Leadership_HC,Tot_Teachers_HC,Tot_TAs_HC,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_HC,Tot_Auxiliary_Staff_HC,Perc_PT_Teaching_Staff_,Tot_Workforce_FTE,Tot_Classroom_Teachers_FTE,Tot_Teachers_Leadership_FTE,Tot_Teachers_FTE,Tot_TAs_FTE,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_FTE,Tot_Aux_Staff_FTE,TA_Teacher_Ratio,Pupil_Teacher_Ratio,Perc_Male_Teachers,Perc_Minority_Ethnic_Teachers,Perc_Over_Age_50_Teachers,Perc_QTS_Teachers,Perc_of_Unqual_Teachers_who_Unqual_on_QTS_Route,Perc_Male_TAs,Perc_Minority_Ethnic_TAs,Perc_HLTA_TAs,Perc_Male_Non_Classroom_Support_Staff,Perc_Minority_Ethnic_Non_Classroom_Support_Staff,Perc_Male_Aux_Staff,Perc_Minority_Ethnic_Aux_Staff,Regional_Pay_Spine,Mean_Gross_Salary_All_Teachers_Sterling,Perc_Main_Pay_Range_Classroom_Teachers,Perc_Upper_Pay_Range_Leading_Practioners_Pay_Range_Classroom_Teachers,Perc_Receive_Allowance_Qual_Classroom_Teachers,Perc_Leadership_Pay_Range_Teachers,Perc_At_Least_One_Sickness_Absence_Teachers,Tot_Days_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_Of_Those_Taking_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_All_Teachers,FT_Vacant_Posts,Perc_FT_Posts_Vacant,FT_Temp_Filled_Posts,Perc_FT_Temp_Filled_Posts
8652008,382680,160367,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Bradford-on-Avon South,4,11,74,17,4,21,31,7,15,45.5,31.9,11.6,3.6,15.2,9.7,4.4,2.6,0.6,20.9,NA,0,NA,97,NA,0,0,NA,NA,0,0,0,EW,34447,NA,0,NA,19,50,67.5,6.8,3.4,0,0,0,0
8652009,391483,152507,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Ethandune,4,11,29,8,2,10,13,2,4,NA,18.3,6.7,2,8.7,7.7,1.3,0.6,0.9,16.4,NA,0,0,100,NA,0,0,NA,0,NA,0,NA,EW,32947,62.5,NA,0,NA,45.5,31,6.2,2.8,0,0,0,0
8652023,391775,174719,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Chippenham Hardenhuish,4,11,43,16,2,18,11,4,10,72.2,21.4,10.1,2,12.1,5.2,2.2,1.9,0.4,18,24.8,0,NA,95,NA,0,0,0,0,0,NA,0,EW,38629,NA,0,25,NA,50,50,5.6,2.8,0,0,0,0
8652029,386849,168884,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Corsham Without and Box Hill,4,11,15,5,1,6,3,2,4,83.3,6.1,1.9,1,2.9,1.6,0.9,0.7,0.5,1,0,NA,NA,96.6,NA,0,NA,NA,0,NA,0,0,EW,36220,NA,NA,0,NA,NA,NA,NA,7,0,0,0,0
8652031,386062,168246,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Corsham Without and Box Hill,4,11,36,8,2,10,19,4,3,40,17.4,6.5,2,8.5,6.2,1.6,1.1,0.7,22.1,NA,NA,NA,100,NA,0,NA,NA,0,NA,0,NA,EW,35568,75,NA,NA,NA,63.6,98,14,8.9,0,0,0,0
8652034,392678,173440,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Chippenham Monkton,4,11,34,13,2,15,13,3,3,53.3,18.3,8.8,2,10.8,5.8,1.1,0.6,0.5,21.8,NA,0,31.4,100,NA,NA,NA,0,0,NA,0,NA,EW,37986,30.8,69.2,NA,NA,40,17,2.8,1.1,0,0,0,0
8652045,418304,135782,LA maintained schools,Primary,Does not apply,South West,Salisbury,Wiltshire,Bourne and Woodford Valley,4,11,26,5,2,7,9,4,6,NA,13.2,4.1,2,6.1,4.6,1.3,1.2,0.7,21.5,NA,0,0,100,NA,0,NA,NA,0,0,NA,0,EW,36556,NA,NA,NA,NA,NA,NA,NA,1.6,0,0,0,0
8652052,402079,175288,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Calne Rural,4,11,35,6,2,8,12,6,9,62.5,12,3.6,2,5.6,3.6,1.5,1.3,0.6,20.1,0,0,0,100,NA,0,0,0,NA,NA,0,0,EW,35522,66.7,NA,NA,NA,55.6,56,11.2,6.2,0,0,0,0
8652053,381930,141370,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Warminster Without,5,11,17,4,2,6,5,2,4,62.5,8,2,2,4,2.4,1.1,0.5,0.6,20.2,NA,NA,0,100,NA,0,0,0,0,NA,0,0,EW,37551,100,0,0,NA,NA,NA,NA,1.8,0,0,0,0
8652060,383291,184017,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Sherston,4,11,11,3,1,4,2,2,3,NA,5.3,2.3,1,3.3,0.8,0.6,0.6,0.2,15.1,0,0,NA,100,NA,0,NA,NA,0,NA,0,NA,EW,37497,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8652086,390652,179922,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Kington,4,11,27,7,1,8,8,6,5,NA,11.8,5.4,1,6.4,3.3,1.4,0.7,0.5,13.1,NA,NA,NA,100,NA,0,0,0,0,0,0,0,EW,34812,0,NA,NA,NA,44.4,11,2.8,1.2,0,0,0,0
8652087,427495,171734,LA maintained schools,Primary,Does not apply,South West,Devizes,Wiltshire,Aldbourne and Ramsbury,4,11,45,9,3,12,24,1,8,64.3,18.9,5.7,3,8.7,8,1,1.2,0.9,23,0,0,NA,100,NA,0,NA,NA,0,NA,NA,NA,EW,39671,NA,66.7,NA,NA,50,37,6.2,3.1,0,0,0,0
8652091,413680,128866,LA maintained schools,Primary,Does not apply,South West,Salisbury,Wiltshire,Salisbury St Martin's and Cathedral,5,7,49,12,2,14,19,3,13,40,24.1,9.7,1.8,11.5,7.7,1.3,3.6,0.7,21.3,0,0,34.2,96,NA,0,NA,0,NA,NA,NA,NA,EW,34957,0,0,NA,NA,31.3,20.5,4.1,1.3,0,0,0,0
8652136,386652,151267,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Westbury West,5,7,46,12,2,14,15,2,15,35.7,26.8,9.1,2,11.1,9.6,1.8,4.3,0.9,15.8,36,0,NA,100,NA,0,0,0,0,NA,NA,0,EW,35867,41.7,58.3,NA,NA,60,191.5,21.3,12.8,0,0,0,0
8652137,380615,159277,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Winsley and Westwood,4,11,26,6,1,7,9,3,7,NA,10.9,4.7,1,5.7,3.3,1.2,0.7,0.6,18.8,NA,0,NA,100,NA,0,0,NA,0,NA,0,0,EW,33914,66.7,NA,NA,NA,50,48.5,12.1,6.1,0,0,0,0
8652140,406540,182395,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Royal Wootton Bassett South,5,7,25,5,3,8,8,3,6,NA,11.5,4.2,2.6,6.8,2.5,0.9,1.3,0.4,25.7,NA,0,50,100,NA,0,0,0,0,NA,NA,0,EW,36520,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0
8652159,418827,143826,LA maintained schools,Primary,Does not apply,South West,Devizes,Wiltshire,"Bulford, Allington and Figheldean",3,11,56,16,2,18,18,6,14,22.2,31.3,14.7,2,16.7,6.3,4.7,3.6,0.4,16.4,NA,0,NA,100,NA,0,NA,0,0,NA,NA,NA,EW,36357,62.5,37.5,25,NA,44.4,75.5,9.4,4.2,1,6.7,0,0
8652162,407110,182359,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Royal Wootton Bassett South,7,11,33,10,2,12,11,2,8,50,17.6,7.6,2,9.6,5.2,1.1,1.7,0.5,21.6,NA,0,41.8,89.6,NA,0,NA,0,0,NA,NA,NA,EW,37193,0,0,NA,NA,50,18.5,3.1,1.5,0,0,0,0
8652168,400500,170958,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Calne Central,4,11,38,7,4,11,15,4,8,NA,24.4,7,3.2,10.2,10.6,2.2,1.4,1,19.3,NA,NA,NA,100,NA,NA,0,24.2,0,0,0,0,EW,37737,0,0,NA,36.4,70,58.5,8.4,5.8,0,0,0,0
8652170,384860,156414,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Trowbridge Grove,4,11,61,16,4,20,24,4,13,30,43.1,13,4,17,18.7,2.9,4.5,1.1,23.1,17.6,NA,NA,100,NA,NA,NA,31,NA,0,NA,0,EW,34521,56.3,43.8,0,20,36.4,33,4.1,1.5,0,0,0,0
8652178,386341,144782,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Warminster West,4,11,28,8,2,10,13,2,3,40,15.2,5.6,2,7.6,5.7,1.6,0.3,0.7,16.8,NA,0,NA,100,NA,0,NA,NA,0,NA,NA,NA,EW,35771,75,NA,0,NA,NA,NA,NA,0.9,0,0,0,0
8652180,390899,173689,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Chippenham Cepen Park and Redlands,4,11,67,11,3,14,38,4,11,NA,28.6,9.8,3,12.8,9.3,2.8,3.7,0.7,23,NA,0,NA,100,NA,0,0,NA,0,0,0,0,EW,37912,45.5,54.5,NA,NA,38.5,42,8.4,3.2,0,0,0,0
8652184,407463,182993,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Royal Wootton Bassett North,4,11,56,12,2,14,21,3,18,NA,29.3,10.6,2,12.6,9.7,2.5,4.5,0.8,20.4,23.8,0,NA,92.1,NA,0,NA,NA,0,NA,NA,NA,EW,35170,0,0,33.3,NA,57.1,56.5,7.1,4,0,0,0,0
8652185,381709,132474,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Mere,4,11,40,10,2,12,8,5,15,41.7,20.8,6.4,2,8.4,5.9,1.6,4.9,0.7,23,NA,0,38.1,100,NA,0,0,0,0,0,NA,0,EW,38087,60,NA,NA,NA,45.5,28,5.6,2.5,0,0,0,0
8652190,411894,131428,LA maintained schools,Primary,Does not apply,South West,Salisbury,Wiltshire,Salisbury Bemerton,2,11,34,7,4,11,16,5,2,NA,21.3,5.7,4,9.7,8.6,2.6,0.4,0.9,22.6,NA,0,31.5,89.7,NA,0,0,0,0,0,0,NA,EW,39044,0,0,NA,36.4,26.7,45.5,11.4,3,0,0,0,0
